iter	Passed	Remaining
462	535	621
463	537	620
464	538	619
465	539	617
466	540	616
467	541	615
468	542	614
469	545	614
470	546	614
471	549	614
472	550	613
473	552	613
474	553	612
475	555	611
476	556	609
477	557	608
478	559	608
479	561	607
480	562	606
481	564	606
482	565	605
483	566	603
484	567	602
485	568	601
486	569	599
487	570	598
488	571	597
489	573	597
490	574	596
491	575	594
492	577	593
493	578	592
494	579	591
495	581	590
496	581	588
497	582	587
498	583	586
499	584	584
500	585	583
501	587	582
502	588	581
503	589	580
504	590	579
505	591	577
506	592	576
507	593	574
508	595	574
509	595	572
510	596	571
511	597	569
512	598	568
513	599	567
514	602	566
515	603	565
516	604	564
517	604	562
518	605	561
519	606	560
520	607	558
521	608	557
522	609	555
523	611	555
524	612	554
525	613	552
526	614	551
527	616	551
528	617	550
529	618	548
530	619	547
531	620	545
532	621	544
533	622	543
534	623	541
535	624	540
536	625	539
537	626	537
538	626	536
539	627	534
540	628	533
541	631	533
542	632	532
543	633	530
544	634	529
545	635	528
546	636	527
547	637	525
548	638	524
549	639	523
550	640	522
551	641	521
552	643	519
553	645	519
554	646	518
555	648	517
556	649	516
557	651	516
558	653	515
559	654	514
560	655	512
561	656	511
562	657	510
563	660	510
564	661	509
565	662	508
566	663	507
567	665	505
568	666	504
569	667	503
570	668	502
571	669	500
572	670	499
573	671	498
574	673	497
575	675	497
576	676	495
577	677	494
578	678	493
579	679	492
580	680	490
581	681	489
582	682	488
583	683	486
584	684	485
585	685	484
586	686	482
587	688	482
588	690	481
589	691	480
590	692	479
591	693	477
592	694	476
593	695	475
594	696	473
595	697	472
596	697	471
597	698	469
598	699	468
599	700	466
600	702	466
601	704	465
602	705	464
603	706	463
604	707	461
605	708	460
606	709	459
607	710	457
608	711	456
609	711	455
610	712	453
611	713	452
612	714	451
613	715	449
614	717	449
615	719	448
616	720	447
617	721	445
618	722	444
619	723	443
620	724	441
621	725	440
622	725	439
623	726	437
624	727	436
625	728	435
626	729	433
627	730	432
628	732	432
629	734	431
630	735	430
631	736	428
632	737	427
633	738	426
634	739	425
635	740	423
636	741	422
637	742	421
638	743	419
639	744	418
640	745	417
641	747	417
642	748	415
643	749	414
644	750	413
645	751	411
646	752	410
647	753	409
648	754	407
649	755	406
650	755	405
651	756	403
652	757	402
653	758	401
654	759	400
655	761	399
656	763	398
657	764	397
658	765	396
659	766	394
660	767	393
661	767	392
662	768	390
663	769	389
664	770	388
665	771	386
666	772	385
667	773	384
668	774	383
669	777	383
670	778	381
671	779	380
672	780	379
673	781	378
674	782	376
675	783	375
676	784	374
677	785	372
678	786	371
679	786	370
680	787	369
681	788	367
682	790	367
683	792	365
684	793	364
685	793	363
686	794	362
687	795	360
688	796	359
689	797	358
690	798	357
691	799	355
692	800	354
693	801	353
694	802	352
695	803	350
696	805	350
697	806	349
698	807	347
699	808	346
700	809	345
701	810	344
702	811	342
703	812	341
704	813	340
705	814	338
706	814	337
707	815	336
708	817	335
709	817	334
710	820	333
711	821	332
712	822	331
713	823	329
714	824	328
715	826	327
716	827	326
717	828	325
718	828	323
719	829	322
720	830	321
721	831	320
722	832	318
723	834	318
724	835	316
725	836	315
726	837	314
727	837	313
728	838	311
729	839	310
730	840	309
731	841	308
732	842	306
733	843	305
734	844	304
735	844	303
736	845	301
737	846	300
738	848	299
739	849	298
740	850	297
741	851	296
742	852	294
743	853	293
744	854	292
745	855	291
746	856	289
747	856	288
748	857	287
749	858	286
750	860	285
751	860	283
752	864	283
753	865	282
754	866	281
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	872	273
761	873	272
762	874	271
763	875	270
764	877	269
765	878	268
766	879	267
767	880	266
768	881	264
769	882	263
770	883	262
771	884	261
772	885	260
773	887	259
774	889	258
775	890	256
776	891	255
777	892	254
778	893	253
779	895	252
780	896	251
781	897	250
782	898	248
783	899	247
784	900	246
785	904	246
786	905	245
787	907	244
788	908	242
789	909	241
790	910	240
791	911	239
792	913	238
793	914	237
794	915	236
795	918	235
796	919	234
797	920	232
798	921	231
799	922	230
800	923	229
801	924	228
802	925	227
803	927	226
804	928	224
805	929	223
806	931	222
807	932	221
808	933	220
809	935	219
810	936	218
811	937	217
812	938	215
813	939	214
814	940	213
815	941	212
816	942	211
817	943	209
818	946	209
819	947	208
820	949	206
821	950	205
822	951	204
823	951	203
824	952	202
825	953	200
826	954	199
827	955	198
828	956	197
829	957	196
830	958	194
831	961	194
832	962	192
833	963	191
834	964	190
835	965	189
836	966	188
837	967	186
838	968	185
839	968	184
840	970	183
841	971	182
842	972	181
843	973	179
844	976	179
845	977	178
846	979	176
847	980	175
848	981	174
849	982	173
850	983	172
851	984	170
852	985	169
853	986	168
854	987	167
855	988	166
856	991	165
857	992	164
858	995	163
859	996	162
860	998	161
861	999	160
862	1000	158
863	1001	157
864	1002	156
865	1006	155
866	1008	154
867	1009	153
868	1010	152
869	1011	151
870	1012	149
871	1013	148
872	1015	147
873	1017	146
874	1018	145
875	1020	144
876	1022	143
877	1023	142
878	1024	141
879	1025	139
880	1026	138
881	1027	137
882	1028	136
883	1029	135
884	1030	133
885	1031	132
886	1032	131
887	1033	130
888	1035	129
889	1036	128
890	1036	126
891	1037	125
892	1038	124
893	1039	123
894	1039	121
895	1040	120
896	1041	119
897	1041	118
898	1042	117
899	1043	115
900	1043	114
901	1044	113
902	1045	112
903	1045	111
904	1046	109
905	1047	108
906	1049	107
907	1050	106
908	1050	105
909	1051	103
910	1052	102
911	1052	101
912	1053	100
913	1054	99
914	1054	97
915	1055	96
916	1056	95
917	1056	94
918	1057	93
919	1058	92
920	1058	90
921	1059	89
922	1060	88
923	1060	87
924	1061	86
925	1064	85
926	1065	83
927	1065	82
928	1066	81
929	1067	80
930	1067	79
931	1068	77
932	1069	76
933	1069	75
934	1070	74
935	1071	73
936	1071	72
937	1072	70
938	1073	69
939	1074	68
940	1074	67
941	1075	66
942	1076	65
943	1076	63
944	1079	62
945	1079	61
946	1080	60
947	1081	59
948	1081	58
949	1082	56
950	1083	55
951	1084	54
952	1084	53
953	1085	52
954	1086	51
955	1087	50
956	1087	48
957	1088	47
958	1089	46
959	1090	45
960	1090	44
961	1091	43
962	1093	42
963	1094	40
964	1096	39
965	1097	38
966	1098	37
967	1099	36
968	1099	35
969	1100	34
970	1101	32
971	1101	31
972	1102	30
973	1103	29
974	1104	28
975	1104	27
976	1106	26
977	1107	24
978	1108	23
979	1109	22
980	1110	21
981	1110	20
982	1111	19
983	1112	18
984	1112	16
985	1113	15
986	1114	14
987	1114	13
988	1115	12
989	1116	11
990	1117	10
991	1118	9
992	1118	7
993	1119	6
994	1121	5
995	1122	4
996	1123	3
997	1123	2
998	1124	1
999	1125	0
